brand, name, price
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card,249.99
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING 06G-P4-1667-KR 6GB GDDR6 Dual Fan Metal Backplate,299.99
ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,459.99
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,339.99
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL Video Card,289.99
MSI,MSI Radeon RX 570 DirectX 12 RX 570 8GT OC Video Card,139.99
ASUS,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition Graphics Card (DUAL-RTX2060-O6G-EVO),349.99
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G Video Card,119.99
EVGA,EVGA GeForce RTX 2080 Ti XC HYBRID GAMING 11G-P4-2384-KR 11GB GDDR6 HYBRID RGB LED Logo Metal Backplate,1399.99
EVGA,EVGA GeForce GTX 1660 Ti XC Black GAMING 06G-P4-1261-KR 6GB GDDR6 HDB Fan,279.99
EVGA,EVGA GeForce RTX 2060 XC GAMING 6GB GDDR6 HDB Fan Graphics Card 06G-P4-2063-KR,379.99
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G Video Card,289.99
